title,score
明日への地図を探して,3.9
TENET テネット,4.1
ヲタクに恋は難しい,3.0
SNS-少女たちの10日間-,3.3
劇場版「鬼滅の刃」無限列車編,4.1
マーメイド・イン・パリ,3.7
カイジ ファイナルゲーム,3.0
ミナリ,3.9
まともじゃないのは君も一緒,-
窮鼠はチーズの夢を見る,3.7
ソウルフル・ワールド,4.1
映画　えんとつ町のプペル,3.8
劇場版 ヴァイオレット・エヴァーガーデン,4.4
この茫漠たる荒野で,3.7
糸,3.8
DAU. ナターシャ,3.8
コンフィデンスマンJP　プリンセス編,4.0
MOTHER マザー,3.5
ハーレイ・クインの華麗なる覚醒　BIRDS OF PREY,3.6
ザ・プロム,3.8
ステップ,3.9
犬鳴村,2.7
劇場,3.7
魔女がいっぱい,3.4
新解釈・三國志,3.1
1秒先の彼女,4.5
オール・マイ・ライフ,3.7
パーム・スプリングス,3.6
好きだった君へ:P.S.まだ大好きです,3.7
藁にもすがる獣たち,3.5
ザ・コール,3.8
新感染半島 ファイナル・ステージ,3.7
事故物件 恐い間取り,2.7
Pleasure（原題）,2.9
青くて痛くて脆い,3.4
約束のネバーランド,3.4
サンドラの小さな家,3.2
罪の声,3.9
ハーフ・オブ・イット: 面白いのはこれから,3.9
ノマドランド,3.8
シカゴ7裁判,4.0
浅田家！,4.0
Promising Young Woman（原題）,4.0
今日から俺は!! 劇場版,3.8
佐々木、イン、マイマイン,4.0
太陽は動かない,-
私をくいとめて,3.9
スパイの妻,3.8
シグナル100,2.6
架空OL日記,4.0
ミッドナイトスワン,4.2
水曜日が消えた,3.6
最高に素晴らしいこと,3.7
Mank マンク,3.7
美少女戦士セーラームーンEternal 後編,3.7
泣く子はいねぇが,3.8
もう終わりにしよう。,3.3
ファーザー,4.2
砕け散るところを見せてあげる,-
キングスマン：ファースト・エージェント,-
ラストレター,3.8
思い、思われ、ふり、ふられ,3.6
天外者,4.0
カポネ,3.2
ペンギンが教えてくれたこと,3.8
Ｒｅｄ,3.2
オン・ザ・ロック,3.8
宇宙でいちばんあかるい屋根,3.8
みんな死んだ,3.3
ザ・スイッチ,3.4
愛してるって言っておくね,3.7
プリズン・エスケープ　脱出への10の鍵,3.6
ラーヤと龍の王国,-
スマホを落としただけなのに 囚われの殺人鬼,3.4
ニュー・ミュータント,3.3
MISS ミス・フランスになりたい！,3.9
ワンダーウーマン 1984,3.7
#生きている,3.4
STAND BY ME ドラえもん2,3.7
きみの瞳（め）が問いかけている,3.9
ステージ・マザー,4.2
フェリチタ！,3.5
朝が来る,4.0
劇場版 奥様は、取扱い注意,-
恋する寄生虫,-
ドクター・ドリトル,3.5
ムーラン,3.3
泣きたい私は猫をかぶる,3.5
生きちゃった,3.8
アオラレ,3.4
弱くて強い女たち,3.9
小説の神様 君としか描けない物語,3.1
Detective Chinatown 3（英題）,4.0
タイラー・レイク －命の奪還－,3.8
望み,3.7
星の子,3.6
一度死んでみた,3.5
アルプススタンドのはしの方,4.0
ケミカル・ハーツ,3.7
2分の1の魔法,3.9
シン・エヴァンゲリオン劇場版,-
エノーラ・ホームズの事件簿,3.7
BLACKPINK ライトアップ・ザ・スカイ,4.0
東京リベンジャーズ,-
ムヒカ 世界でいちばん貧しい大統領から日本人へ,4.0
仮面病棟,3.5
サイトレス,3.1
初恋,3.8
オールド・ガード,3.8
ドクター・デスの遺産－BLACK FILE－,3.1
悪魔はいつもそこに,3.6
ミッドナイト・スカイ,3.3
ザ・ハント,3.7
キスから始まるものがたり2,3.8
本気のしるし　劇場版,4.1
友だちの友だち,3.0
サヨナラまでの30分,3.9
ジョゼと虎と魚たち,3.9
映画クレヨンしんちゃん 激突！ラクガキングダムとほぼ四人の勇者,3.8
劇場版ポケットモンスター ココ,4.0
アーヤと魔女,3.1
ビューティー・ボーイズ／美しき少年たち,3.5
アンモナイトの目覚め,3.2
そこにいた男,3.1
影裏,3.3
DUNE/デューン 砂の惑星,-
ジャングル・クルーズ,-
ビルとテッドの時空旅行 音楽で世界を救え！,3.7
君が世界のはじまり,3.8
私というパズル,3.7
言葉にならない,3.4
潔白,3.6
mellow,3.6
三島由紀夫vs東大全共闘 50年目の真実,4.0
さくら,3.5
