"","title","marks","clips","score"
"1","明日への地図を探して","333","2380","3.9"
"2","ヲタクに恋は難しい","11198","11004","3.0"
"3","SNS-少女たちの10日間-","10","4944","3.3"
"4","TENET テネット","94110","70061","4.1"
"5","劇場版「鬼滅の刃」無限列車編","79093","25266","4.1"
"6","ミナリ","55","6637","3.9"
"7","カイジ ファイナルゲーム","18218","11872","3.0"
"8","マーメイド・イン・パリ","562","9275","3.7"
"9","ソウルフル・ワールド","15073","22354","4.1"
"10","映画　えんとつ町のプペル","13553","16537","3.8"
"11","窮鼠はチーズの夢を見る","23980","24221","3.7"
"12","まともじゃないのは君も一緒","25","7026","-"
"13","劇場版 ヴァイオレット・エヴァーガーデン","16702","17120","4.4"
"14","この茫漠たる荒野で","639","1372","3.7"
"15","コンフィデンスマンJP　プリンセス編","31238","23292","4.0"
"16","DAU. ナターシャ","17","2336","3.8"
"17","1秒先の彼女","6","441","4.5"
"18","魔女がいっぱい","7733","28856","3.4"
"19","ハーレイ・クインの華麗なる覚醒　BIRDS OF PREY","35497","40014","3.6"
"20","糸","17202","25084","3.8"
"21","MOTHER マザー","20175","25522","3.5"
"22","犬鳴村","12165","7622","2.7"
"23","ザ・プロム","15283","19892","3.8"
"24","ステップ","4800","10773","3.9"
"25","劇場","28974","21160","3.7"
"26","ザ・コール","8342","6221","3.8"
"27","新解釈・三國志","12967","16656","3.1"
"28","好きだった君へ:P.S.まだ大好きです","4341","997","3.7"
"29","オール・マイ・ライフ","182","1295","3.7"
"30","事故物件 恐い間取り","9880","6936","2.7"
"31","シカゴ7裁判","9221","16371","4.0"
"32","ノマドランド","147","8886","3.9"
"33","約束のネバーランド","7083","10353","3.4"
"34","ファーザー","9","1523","4.2"
"35","ラストレター","14273","22341","3.8"
"36","浅田家！","12223","22110","4.0"
"37","パーム・スプリングス","210","10634","3.6"
"38","美少女戦士セーラームーンEternal 後編","281","1485","3.6"
"39","ハーフ・オブ・イット: 面白いのはこれから","20352","17662","3.9"
"40","サンドラの小さな家","8","188","3.2"
"41","新感染半島 ファイナル・ステージ","8662","14729","3.7"
"42","ニュー・ミュータント","668","5979","3.3"
"43","今日から俺は!! 劇場版","13233","10499","3.8"
"44","青くて痛くて脆い","6982","12964","3.4"
"45","太陽は動かない","42","7237","-"
"46","砕け散るところを見せてあげる","59","3927","-"
"47","Pleasure（原題）","2","57","2.9"
"48","佐々木、イン、マイマイン","4387","11363","4.0"
"49","Promising Young Woman（原題）","41","2711","4.0"
"50","罪の声","16690","26581","3.9"
"51","スパイの妻","8070","25101","3.8"
"52","#生きている","11612","4239","3.4"
"53","劇場版 奥様は、取扱い注意","23","4663","-"
"54","Mank マンク","3312","10620","3.7"
"55","愛してるって言っておくね","5395","3255","3.7"
"56","Ｒｅｄ","8295","10964","3.2"
"57","最高に素晴らしいこと","7977","8667","3.7"
"58","思い、思われ、ふり、ふられ","6254","9117","3.6"
"59","シグナル100","2894","2608","2.6"
"60","私をくいとめて","5059","13145","3.9"
"61","2分の1の魔法","11293","17212","3.9"
"62","水曜日が消えた","4582","10821","3.6"
"63","架空OL日記","7450","16749","4.0"
"64","エノーラ・ホームズの事件簿","13363","9078","3.7"
"65","ミッドナイトスワン","15050","29399","4.2"
"66","スマホを落としただけなのに 囚われの殺人鬼","9160","9184","3.4"
"67","オン・ザ・ロック","3641","14241","3.8"
"68","藁にもすがる獣たち","56","1679","3.5"
"69","ドクター・ドリトル","9566","20768","3.5"
"70","仮面病棟","7955","7172","3.5"
"71","みんな死んだ","602","219","3.3"
"72","言葉にならない","318","66","3.4"
"73","もう終わりにしよう。","9049","18299","3.3"
"74","泣きたい私は猫をかぶる","14062","7511","3.5"
"75","一度死んでみた","5242","10864","3.5"
"76","きみの瞳（め）が問いかけている","4950","10272","3.9"
"77","生きちゃった","1922","11953","3.8"
"78","サイトレス","1300","409","3.1"
"79","ペンギンが教えてくれたこと","559","630","3.8"
"80","フェリチタ！","224","306","3.5"
"81","キングスマン：ファースト・エージェント","433","59474","-"
"82","カポネ","36","2453","3.2"
"83","小説の神様 君としか描けない物語","648","1515","3.1"
"84","MISS ミス・フランスになりたい！","93","995","3.9"
"85","ワンダーウーマン 1984","11420","16166","3.7"
"86","望み","4300","13290","3.7"
"87","ザ・スイッチ","96","10615","3.4"
"88","映画クレヨンしんちゃん 激突！ラクガキングダムとほぼ四人の勇者","2414","2727","3.8"
"89","宇宙でいちばんあかるい屋根","2369","8410","3.8"
"90","フランクおじさん","484","870","3.9"
"91","アオラレ","65","975","3.4"
"92","弱くて強い女たち","159","366","3.9"
"93","ケミカル・ハーツ","1335","2095","3.7"
"94","あの夜、マイアミで","455","1103","3.8"
"95","タイラー・レイク －命の奪還－","14480","9130","3.8"
"96","ミッドナイト・スカイ","5641","6563","3.3"
"97","アンモナイトの目覚め","22","2887","3.2"
"98","ラーヤと龍の王国","2","1322","-"
"99","ムーラン","4810","18301","3.3"
"100","オールド・ガード","12897","7200","3.8"
"101","朝が来る","3676","14588","4.0"
"102","泣く子はいねぇが","2240","7585","3.8"
"103","友だちの友だち","188","55","3.0"
"104","STAND BY ME ドラえもん2","7500","8240","3.7"
"105","魔女見習いをさがして","4079","7648","3.8"
"106","ビューティー・ボーイズ／美しき少年たち","285","66","3.5"
"107","青く震える娘","242","69","3.0"
"108","ドクター・デスの遺産－BLACK FILE－","5224","10229","3.1"
"109","悪魔はいつもそこに","6123","8812","3.6"
"110","サヨナラまでの30分","5037","9265","3.9"
"111","DUNE/デューン 砂の惑星","31","12680","-"
"112","ジョゼと虎と魚たち","3194","6672","3.9"
"113","東京リベンジャーズ","7","5953","-"
"114","核家族","218","42","3.3"
"115","アルプススタンドのはしの方","5859","7816","4.0"
"116","天外者","4366","8215","4.0"
"117","静かな雨","1295","5451","3.7"
"118","劇場版ポケットモンスター ココ","2402","1516","4.0"
"119","ザ・ハント","2213","9589","3.7"
"120","BLACKPINK ライトアップ・ザ・スカイ","6561","2195","4.0"
"121","ステージ・マザー","21","4290","4.2"
"122","プリズン・エスケープ　脱出への10の鍵","826","2577","3.6"
